"Instrument","Fluorophore","Detector","AdjustedY"
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-375/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-394/14",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-420/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-440/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-459/18",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-476/18",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-501/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-517/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-532/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-547/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-574/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-590/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-607/18",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-625/18",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-655/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-675/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-698/26",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-724/26",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-752/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-782/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-812/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","349-844/24",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-420/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-440/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-459/18",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-476/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-501/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-517/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-532/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-547/16",0.000132135306553911
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-574/16",0.00779598308668076
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-590/16",0.0116279069767442
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-607/18",0.00634249471458774
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-625/18",0.0035676532769556
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-655/20",0.00184989429175476
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-675/20",0.000924947145877379
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-698/26",0.000528541226215645
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-724/26",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-752/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-782/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-812/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","405-844/34",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-501/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-517/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-532/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-547/16",0.00171775898520085
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-574/16",0.10134778012685
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-590/16",0.151162790697674
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-607/18",0.0824524312896406
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-625/18",0.0463794926004228
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-655/20",0.0240486257928118
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-675/20",0.0120243128964059
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-698/26",0.00687103594080338
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-724/16",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-752/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-782/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-812/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","488-844/34",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-574/16",0.670454545454545
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-590/16",1
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-607/18",0.545454545454545
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-625/18",0.306818181818182
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-655/20",0.159090909090909
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-675/20",0.0795454545454545
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-698/26",0.0454545454545454
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-724/26",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-752/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-782/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-812/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","561-844/34",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-655/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-675/20",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-698/26",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-724/26",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-752/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-782/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-812/30",0
"BDFACS Discover S8","10-Acetyl-37-dihydroxyphenoxazin","637-844/34",0
"BDFACS Discover S8","3-Azido-7-hydroxycoumarin","349-375/20",0.0101010101010101
"BDFACS Discover S8","3-Azido-7-hydroxycoumarin","349-394/14",0.101010101010101
"BDFACS Discover S8","3-Azido-7-hydroxycoumarin","349-420/20",0.323232323232323
"BDFACS Discover S8","3-Azido-7-hydroxycoumarin","349-440/20",0.595959595959596
"BDFACS Discover S8","3-Azido-7-hydroxycoumarin","349-459/18",0.898989898989899
"BDFACS Discover S8","3-Azido-7-hydroxycoumarin","349-476/18",1
"BDFACS Discover S8","3-Azido-7-hydroxycoumarin","349-501/16",0.858585858585859
