"Instrument","Fluorophore","Detector","AdjustedY"
"BDFACS Symphony A5","7-AAD","355-379/34 365LP",0
"BDFACS Symphony A5","7-AAD","355-446/67 425LP",0
"BDFACS Symphony A5","7-AAD","355-515/60 495LP",0
"BDFACS Symphony A5","7-AAD","355-540/20 535LP",0
"BDFACS Symphony A5","7-AAD","355-585/30 570LP",0
"BDFACS Symphony A5","7-AAD","355-610/30 595LP",0.012876833
"BDFACS Symphony A5","7-AAD","355-660/30 645LP",0.032417717
"BDFACS Symphony A5","7-AAD","355-695/40 675LP",0.032383335
"BDFACS Symphony A5","7-AAD","355-736/64 704LP",0.037242308
"BDFACS Symphony A5","7-AAD","355-809/82 765LP",0.019263369
"BDFACS Symphony A5","7-AAD","405-427/25 415LP",0
"BDFACS Symphony A5","7-AAD","405-450/40 430LP",0
"BDFACS Symphony A5","7-AAD","405-470/15 465LP",0
"BDFACS Symphony A5","7-AAD","405-510/40 495LP",0
"BDFACS Symphony A5","7-AAD","405-540/20 530LP",0
"BDFACS Symphony A5","7-AAD","405-576/20 570LP",0.007635355
"BDFACS Symphony A5","7-AAD","405-595/30 585LP",0.020651559
"BDFACS Symphony A5","7-AAD","405-615/25 605LP",0.059768324
"BDFACS Symphony A5","7-AAD","405-660/30 645LP",0.12172423
"BDFACS Symphony A5","7-AAD","405-680/30 665LP",0.131477173
"BDFACS Symphony A5","7-AAD","405-710/40 690LP",0.106973554
"BDFACS Symphony A5","7-AAD","405-750/40 730LP",0.087362064
"BDFACS Symphony A5","7-AAD","405-785/50 765LP",0.061226507
"BDFACS Symphony A5","7-AAD","405-845/70 810LP",0.033459013
"BDFACS Symphony A5","7-AAD","488-510/20 500LP",0
"BDFACS Symphony A5","7-AAD","488-537/32 520LP",0
"BDFACS Symphony A5","7-AAD","488-576/20 570LP",0.012148048
"BDFACS Symphony A5","7-AAD","488-602/40 585LP",0.114886424
"BDFACS Symphony A5","7-AAD","488-660/30 645LP",0.746174188
