"Instrument","Fluorophore","Detector","AdjustedY"
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-379/34 365LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-446/67 425LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-515/60 495LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-540/20 535LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-585/30 570LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-610/30 595LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-660/30 645LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-695/40 675LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-736/64 704LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","355-809/82 765LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-427/25 415LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-450/40 430LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-470/15 465LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-510/40 495LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-540/20 530LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-576/20 570LP",0.00963119567770731
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-595/30 585LP",0.00798684519614752
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-615/25 605LP",0.00399342259807376
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-660/30 645LP",0.00140944326990839
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-680/30 665LP",0.000704721634954193
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-710/40 690LP",0.000234907211651398
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-750/40 730LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-785/50 765LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","405-845/70 810LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-510/20 500LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-537/32 520LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-576/20 570LP",0.125205543810195
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-602/40 585LP",0.0855062250411088
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-660/30 645LP",0.018322762508809
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-675/20 665LP",0.0106882781301386
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-710/50 685LP",0.00305379375146817
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-750/60 724LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","488-810/79 770LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-585/30 570LP",1
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-602/40 595LP",0.464646464646465
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-660/30 645LP",0.121212121212121
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-670/20 665LP",0.0808080808080808
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-695/40 680LP",0.0404040404040404
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-730/50 699LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-750/40 735LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-780/60 750LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","561-825/49 800LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","637-660/30 645LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","637-675/20 665LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","637-680/30 680LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","637-710/25 699LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","637-730/50 720LP",0
"BDFACS Symphony S6","10-Acetyl-37-dihydroxyphenoxazin","637-780/60 750LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-379/34 365LP",0.0375
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-446/67 425LP",1
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-515/60 495LP",0.775
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-540/20 535LP",0.4625
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-585/30 570LP",0.125
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-610/30 595LP",0.05
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-660/30 645LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-695/40 675LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-736/64 704LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","355-809/82 765LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-427/25 415LP",0.20718085106383
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-450/40 430LP",0.384042553191489
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-470/15 465LP",0.495212765957447
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-510/40 495LP",0.363829787234043
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-540/20 530LP",0.197074468085106
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-576/20 570LP",0.0606382978723404
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-595/30 585LP",0.0303191489361702
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-615/25 605LP",0.0151595744680851
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-660/30 645LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-680/30 665LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-710/40 690LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-750/40 730LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-785/50 765LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","405-845/70 810LP",0
"BDFACS Symphony S6","3-Azido-7-hydroxycoumarin","488-510/20 500LP",0.00984042553191489
