"Instrument","Fluorophore","Detector","AdjustedY"
"TwoLaserBR","7-AAD",1,0.00208715596330278
"TwoLaserBR","7-AAD",2,0
"TwoLaserBR","7-AAD",3,0
"TwoLaserBR","7-AAD",4,0.0190080275229357
"TwoLaserBR","7-AAD",5,0.0989965596330276
"TwoLaserBR","7-AAD",6,0.365917431192661
"TwoLaserBR","7-AAD",7,1
"TwoLaserBR","7-AAD",8,0.84920871559633
"TwoLaserBR","7-AAD",9,0.889724770642202
"TwoLaserBR","7-AAD",10,0.536760321100917
"TwoLaserBR","7-AAD",11,0.343147935779817
"TwoLaserBR","7-AAD",12,0.319340596330275
"TwoLaserBR","7-AAD",13,0.235172018348624
"TwoLaserBR","7-AAD",14,0.231829128440367
"TwoLaserBR","7-AAD",15,0.0300745412844037
"TwoLaserBR","7-AAD",16,0.040309633027523
"TwoLaserBR","7-AAD",17,0.0373853211009175
"TwoLaserBR","7-AAD",18,0.0302866972477065
"TwoLaserBR","7-AAD",19,0.0223451834862386
"TwoLaserBR","7-AAD",20,0.0160837155963303
"TwoLaserBR","7-AAD",21,0.0158715596330276
"TwoLaserBR","7-AAD",22,0.00668577981651375
"TwoLaserBR","Alexa Fluor 488",1,0.783698394495413
"TwoLaserBR","Alexa Fluor 488",2,1
"TwoLaserBR","Alexa Fluor 488",3,0.691502293577982
"TwoLaserBR","Alexa Fluor 488",4,0.170200688073395
"TwoLaserBR","Alexa Fluor 488",5,0.083302752293578
"TwoLaserBR","Alexa Fluor 488",6,0.0427006880733946
"TwoLaserBR","Alexa Fluor 488",7,0.0125974770642202
"TwoLaserBR","Alexa Fluor 488",8,0.00729931192660549
"TwoLaserBR","Alexa Fluor 488",9,0.00529816513761472
"TwoLaserBR","Alexa Fluor 488",10,0.0022993119266056
"TwoLaserBR","Alexa Fluor 488",11,0.00110091743119267
"TwoLaserBR","Alexa Fluor 488",12,0.00090022935779821
"TwoLaserBR","Alexa Fluor 488",13,0.000498853211009287
"TwoLaserBR","Alexa Fluor 488",14,0.000200688073394462
"TwoLaserBR","Alexa Fluor 488",15,0
"TwoLaserBR","Alexa Fluor 488",16,0
"TwoLaserBR","Alexa Fluor 488",17,0
"TwoLaserBR","Alexa Fluor 488",18,0
"TwoLaserBR","Alexa Fluor 488",19,0
"TwoLaserBR","Alexa Fluor 488",20,0
"TwoLaserBR","Alexa Fluor 488",21,0
"TwoLaserBR","Alexa Fluor 488",22,0
"TwoLaserBR","Alexa Fluor 532",1,0
"TwoLaserBR","Alexa Fluor 532",2,0.123899082568807
"TwoLaserBR","Alexa Fluor 532",3,1
"TwoLaserBR","Alexa Fluor 532",4,0.644002293577982
"TwoLaserBR","Alexa Fluor 532",5,0.398400229357798
"TwoLaserBR","Alexa Fluor 532",6,0.244197247706422
"TwoLaserBR","Alexa Fluor 532",7,0.0829988532110092
"TwoLaserBR","Alexa Fluor 532",8,0.047901376146789
"TwoLaserBR","Alexa Fluor 532",9,0.0354013761467891
"TwoLaserBR","Alexa Fluor 532",10,0.0140997706422018
"TwoLaserBR","Alexa Fluor 532",11,0.00680045871559642
"TwoLaserBR","Alexa Fluor 532",12,0.00569954128440364
"TwoLaserBR","Alexa Fluor 532",13,0.00189793577981656
"TwoLaserBR","Alexa Fluor 532",14,0.00169724770642199
"TwoLaserBR","Alexa Fluor 532",15,0
"TwoLaserBR","Alexa Fluor 532",16,0
"TwoLaserBR","Alexa Fluor 532",17,0
"TwoLaserBR","Alexa Fluor 532",18,0
"TwoLaserBR","Alexa Fluor 532",19,0
"TwoLaserBR","Alexa Fluor 532",20,0
"TwoLaserBR","Alexa Fluor 532",21,0
"TwoLaserBR","Alexa Fluor 532",22,0
"TwoLaserBR","Alexa Fluor 555",1,0
"TwoLaserBR","Alexa Fluor 555",2,0
"TwoLaserBR","Alexa Fluor 555",3,0.161358944954129
"TwoLaserBR","Alexa Fluor 555",4,1
"TwoLaserBR","Alexa Fluor 555",5,0.489868119266055
"TwoLaserBR","Alexa Fluor 555",6,0.337190366972477
"TwoLaserBR","Alexa Fluor 555",7,0.105642201834862
"TwoLaserBR","Alexa Fluor 555",8,0.0665711009174312
"TwoLaserBR","Alexa Fluor 555",9,0.0528211009174313
"TwoLaserBR","Alexa Fluor 555",10,0.0209862385321101
"TwoLaserBR","Alexa Fluor 555",11,0.0108543577981651
"TwoLaserBR","Alexa Fluor 555",12,0.00795871559633032
"TwoLaserBR","Alexa Fluor 555",13,0.00506307339449552
"TwoLaserBR","Alexa Fluor 555",14,0.00361811926605504
"TwoLaserBR","Alexa Fluor 555",15,0
"TwoLaserBR","Alexa Fluor 555",16,0
"TwoLaserBR","Alexa Fluor 555",17,0
"TwoLaserBR","Alexa Fluor 555",18,0
"TwoLaserBR","Alexa Fluor 555",19,0
"TwoLaserBR","Alexa Fluor 555",20,0
"TwoLaserBR","Alexa Fluor 555",21,0
"TwoLaserBR","Alexa Fluor 555",22,0
"TwoLaserBR","Alexa Fluor 561",1,0
"TwoLaserBR","Alexa Fluor 561",2,0
"TwoLaserBR","Alexa Fluor 561",3,0.034197247706422
"TwoLaserBR","Alexa Fluor 561",4,1
"TwoLaserBR","Alexa Fluor 561",5,0.540452981651376
"TwoLaserBR","Alexa Fluor 561",6,0.468721330275229
"TwoLaserBR","Alexa Fluor 561",7,0.20016628440367
"TwoLaserBR","Alexa Fluor 561",8,0.135114678899083
"TwoLaserBR","Alexa Fluor 561",9,0.109260321100917
"TwoLaserBR","Alexa Fluor 561",10,0.0483715596330275
"TwoLaserBR","Alexa Fluor 561",11,0.0258543577981653
"TwoLaserBR","Alexa Fluor 561",12,0.0216857798165139
"TwoLaserBR","Alexa Fluor 561",13,0.0141800458715597
"TwoLaserBR","Alexa Fluor 561",14,0.0116743119266055
"TwoLaserBR","Alexa Fluor 561",15,0
"TwoLaserBR","Alexa Fluor 561",16,0
"TwoLaserBR","Alexa Fluor 561",17,0
"TwoLaserBR","Alexa Fluor 561",18,0
"TwoLaserBR","Alexa Fluor 561",19,0
"TwoLaserBR","Alexa Fluor 561",20,0
"TwoLaserBR","Alexa Fluor 561",21,0
"TwoLaserBR","Alexa Fluor 561",22,0
"TwoLaserBR","Alexa Fluor 568",1,0
"TwoLaserBR","Alexa Fluor 568",2,0
"TwoLaserBR","Alexa Fluor 568",3,0
"TwoLaserBR","Alexa Fluor 568",4,0.246175458715596
"TwoLaserBR","Alexa Fluor 568",5,0.871175458715596
"TwoLaserBR","Alexa Fluor 568",6,1
"TwoLaserBR","Alexa Fluor 568",7,0.506376146788991
"TwoLaserBR","Alexa Fluor 568",8,0.354592889908257
"TwoLaserBR","Alexa Fluor 568",9,0.279334862385321
"TwoLaserBR","Alexa Fluor 568",10,0.128824541284404
"TwoLaserBR","Alexa Fluor 568",11,0.0765309633027523
"TwoLaserBR","Alexa Fluor 568",12,0.0637729357798166
"TwoLaserBR","Alexa Fluor 568",13,0.0420928899082569
"TwoLaserBR","Alexa Fluor 568",14,0.0369896788990826
"TwoLaserBR","Alexa Fluor 568",15,0.0127522935779818
"TwoLaserBR","Alexa Fluor 568",16,0.0127522935779818
"TwoLaserBR","Alexa Fluor 568",17,0.0114793577981652
"TwoLaserBR","Alexa Fluor 568",18,0.00637614678899079
"TwoLaserBR","Alexa Fluor 568",19,0.00255160550458711
"TwoLaserBR","Alexa Fluor 568",20,0.00255160550458711
"TwoLaserBR","Alexa Fluor 568",21,0.00255160550458711
"TwoLaserBR","Alexa Fluor 568",22,0.00127293577981658
"TwoLaserBR","Alexa Fluor 594",1,0
"TwoLaserBR","Alexa Fluor 594",2,0
"TwoLaserBR","Alexa Fluor 594",3,0
"TwoLaserBR","Alexa Fluor 594",4,0.0111811926605505
"TwoLaserBR","Alexa Fluor 594",5,0.38881880733945
"TwoLaserBR","Alexa Fluor 594",6,1
"TwoLaserBR","Alexa Fluor 594",7,0.578881880733945
"TwoLaserBR","Alexa Fluor 594",8,0.428572247706422
"TwoLaserBR","Alexa Fluor 594",9,0.391301605504587
"TwoLaserBR","Alexa Fluor 594",10,0.180126146788991
"TwoLaserBR","Alexa Fluor 594",11,0.0944094036697248
"TwoLaserBR","Alexa Fluor 594",12,0.0819896788990826
"TwoLaserBR","Alexa Fluor 594",13,0.0521731651376148
"TwoLaserBR","Alexa Fluor 594",14,0.0447190366972477
"TwoLaserBR","Alexa Fluor 594",15,0.105590596330275
"TwoLaserBR","Alexa Fluor 594",16,0.118010321100918
"TwoLaserBR","Alexa Fluor 594",17,0.0993807339449541
"TwoLaserBR","Alexa Fluor 594",18,0.0608715596330276
"TwoLaserBR","Alexa Fluor 594",19,0.0347821100917431
"TwoLaserBR","Alexa Fluor 594",20,0.0198738532110092
"TwoLaserBR","Alexa Fluor 594",21,0.0186353211009175
"TwoLaserBR","Alexa Fluor 594",22,0.00869839449541288
"TwoLaserBR","Alexa Fluor 647",1,0
"TwoLaserBR","Alexa Fluor 647",2,0
"TwoLaserBR","Alexa Fluor 647",3,0
"TwoLaserBR","Alexa Fluor 647",4,0
"TwoLaserBR","Alexa Fluor 647",5,0
"TwoLaserBR","Alexa Fluor 647",6,0
"TwoLaserBR","Alexa Fluor 647",7,0.00470183486238529
"TwoLaserBR","Alexa Fluor 647",8,0.00599770642201836
"TwoLaserBR","Alexa Fluor 647",9,0.00409977064220191
"TwoLaserBR","Alexa Fluor 647",10,0.00180045871559631
"TwoLaserBR","Alexa Fluor 647",11,0.00119839449541281
"TwoLaserBR","Alexa Fluor 647",12,0.00090022935779821
"TwoLaserBR","Alexa Fluor 647",13,0.000498853211009287
"TwoLaserBR","Alexa Fluor 647",14,0.000498853211009287
"TwoLaserBR","Alexa Fluor 647",15,0.536800458715596
"TwoLaserBR","Alexa Fluor 647",16,1
"TwoLaserBR","Alexa Fluor 647",17,0.713199541284404
"TwoLaserBR","Alexa Fluor 647",18,0.429300458715596
"TwoLaserBR","Alexa Fluor 647",19,0.336198394495413
"TwoLaserBR","Alexa Fluor 647",20,0.215
"TwoLaserBR","Alexa Fluor 647",21,0.172700688073394
"TwoLaserBR","Alexa Fluor 647",22,0.0736009174311927
