"Instrument","Fluorophore","Detector","AdjustedY"
"TwoLaserVB","7-AAD","V1",0
"TwoLaserVB","7-AAD","V2",0
"TwoLaserVB","7-AAD","V3",0
"TwoLaserVB","7-AAD","V4",0
"TwoLaserVB","7-AAD","V5",0
"TwoLaserVB","7-AAD","V6",0
"TwoLaserVB","7-AAD","V7",0
"TwoLaserVB","7-AAD","V8",0
"TwoLaserVB","7-AAD","V9",0.00668577981651375
"TwoLaserVB","7-AAD","V10",0.137425458715596
"TwoLaserVB","7-AAD","V11",0.375521788990826
"TwoLaserVB","7-AAD","V12",0.255636467889908
"TwoLaserVB","7-AAD","V13",0.244776376146789
"TwoLaserVB","7-AAD","V14",0.186508027522936
"TwoLaserVB","7-AAD","V15",0.12802752293578
"TwoLaserVB","7-AAD","V16",0.0536754587155964
"TwoLaserVB","7-AAD","B1",0.00208715596330278
"TwoLaserVB","7-AAD","B2",0
"TwoLaserVB","7-AAD","B3",0
"TwoLaserVB","7-AAD","B4",0.0190080275229357
"TwoLaserVB","7-AAD","B5",0.0989965596330276
"TwoLaserVB","7-AAD","B6",0.365917431192661
"TwoLaserVB","7-AAD","B7",1
"TwoLaserVB","7-AAD","B8",0.84920871559633
"TwoLaserVB","7-AAD","B9",0.889724770642202
"TwoLaserVB","7-AAD","B10",0.536760321100917
"TwoLaserVB","7-AAD","B11",0.343147935779817
"TwoLaserVB","7-AAD","B12",0.319340596330275
"TwoLaserVB","7-AAD","B13",0.235172018348624
"TwoLaserVB","7-AAD","B14",0.231829128440367
"TwoLaserVB","Alexa Fluor 405","V1",0.598497706422018
"TwoLaserVB","Alexa Fluor 405","V2",1
"TwoLaserVB","Alexa Fluor 405","V3",0.800997706422018
"TwoLaserVB","Alexa Fluor 405","V4",0.401697247706422
"TwoLaserVB","Alexa Fluor 405","V5",0.137001146788991
"TwoLaserVB","Alexa Fluor 405","V6",0.0611983944954129
"TwoLaserVB","Alexa Fluor 405","V7",0.0336009174311928
"TwoLaserVB","Alexa Fluor 405","V8",0
"TwoLaserVB","Alexa Fluor 405","V9",0
"TwoLaserVB","Alexa Fluor 405","V10",0
"TwoLaserVB","Alexa Fluor 405","V11",0
"TwoLaserVB","Alexa Fluor 405","V12",0
"TwoLaserVB","Alexa Fluor 405","V13",0
"TwoLaserVB","Alexa Fluor 405","V14",0
"TwoLaserVB","Alexa Fluor 405","V15",0
"TwoLaserVB","Alexa Fluor 405","V16",0
"TwoLaserVB","Alexa Fluor 405","B1",0
"TwoLaserVB","Alexa Fluor 405","B2",0
"TwoLaserVB","Alexa Fluor 405","B3",0
"TwoLaserVB","Alexa Fluor 405","B4",0
"TwoLaserVB","Alexa Fluor 405","B5",0
"TwoLaserVB","Alexa Fluor 405","B6",0
"TwoLaserVB","Alexa Fluor 405","B7",0
"TwoLaserVB","Alexa Fluor 405","B8",0
"TwoLaserVB","Alexa Fluor 405","B9",0
"TwoLaserVB","Alexa Fluor 405","B10",0
"TwoLaserVB","Alexa Fluor 405","B11",0
"TwoLaserVB","Alexa Fluor 405","B12",0
"TwoLaserVB","Alexa Fluor 405","B13",0
"TwoLaserVB","Alexa Fluor 405","B14",0
"TwoLaserVB","Alexa Fluor 488","V1",0
"TwoLaserVB","Alexa Fluor 488","V2",0
"TwoLaserVB","Alexa Fluor 488","V3",0
"TwoLaserVB","Alexa Fluor 488","V4",0
"TwoLaserVB","Alexa Fluor 488","V5",0.00409977064220191
"TwoLaserVB","Alexa Fluor 488","V6",0.00799885321100924
"TwoLaserVB","Alexa Fluor 488","V7",0.00529816513761472
"TwoLaserVB","Alexa Fluor 488","V8",0
"TwoLaserVB","Alexa Fluor 488","V9",0
"TwoLaserVB","Alexa Fluor 488","V10",0
"TwoLaserVB","Alexa Fluor 488","V11",0
"TwoLaserVB","Alexa Fluor 488","V12",0
"TwoLaserVB","Alexa Fluor 488","V13",0
"TwoLaserVB","Alexa Fluor 488","V14",0
"TwoLaserVB","Alexa Fluor 488","V15",0
"TwoLaserVB","Alexa Fluor 488","V16",0
"TwoLaserVB","Alexa Fluor 488","B1",0.783698394495413
"TwoLaserVB","Alexa Fluor 488","B2",1
"TwoLaserVB","Alexa Fluor 488","B3",0.691502293577982
"TwoLaserVB","Alexa Fluor 488","B4",0.170200688073395
"TwoLaserVB","Alexa Fluor 488","B5",0.083302752293578
"TwoLaserVB","Alexa Fluor 488","B6",0.0427006880733946
"TwoLaserVB","Alexa Fluor 488","B7",0.0125974770642202
"TwoLaserVB","Alexa Fluor 488","B8",0.00729931192660549
"TwoLaserVB","Alexa Fluor 488","B9",0.00529816513761472
"TwoLaserVB","Alexa Fluor 488","B10",0.0022993119266056
