"Instrument","Fluorophore","Detector","AdjustedY"
"FourLaserUV","7-AAD",1,0
"FourLaserUV","7-AAD",2,0
"FourLaserUV","7-AAD",3,0
"FourLaserUV","7-AAD",4,0
"FourLaserUV","7-AAD",5,0
"FourLaserUV","7-AAD",6,0
"FourLaserUV","7-AAD",7,0
"FourLaserUV","7-AAD",8,0
"FourLaserUV","7-AAD",9,0
"FourLaserUV","7-AAD",10,0.00919151376146798
"FourLaserUV","7-AAD",11,0.0486639908256881
"FourLaserUV","7-AAD",12,0.0327924311926605
"FourLaserUV","7-AAD",13,0.0300745412844037
"FourLaserUV","7-AAD",14,0.0302866972477065
"FourLaserUV","7-AAD",15,0.0210951834862385
"FourLaserUV","7-AAD",16,0.0167087155963304
"FourLaserUV","7-AAD",17,0
"FourLaserUV","7-AAD",18,0
"FourLaserUV","7-AAD",19,0
"FourLaserUV","7-AAD",20,0
"FourLaserUV","7-AAD",21,0
"FourLaserUV","7-AAD",22,0
"FourLaserUV","7-AAD",23,0
"FourLaserUV","7-AAD",24,0
"FourLaserUV","7-AAD",25,0.00668577981651375
"FourLaserUV","7-AAD",26,0.137425458715596
"FourLaserUV","7-AAD",27,0.375521788990826
"FourLaserUV","7-AAD",28,0.255636467889908
"FourLaserUV","7-AAD",29,0.244776376146789
"FourLaserUV","7-AAD",30,0.186508027522936
"FourLaserUV","7-AAD",31,0.12802752293578
"FourLaserUV","7-AAD",32,0.0536754587155964
"FourLaserUV","7-AAD",33,0.00208715596330278
"FourLaserUV","7-AAD",34,0
"FourLaserUV","7-AAD",35,0
"FourLaserUV","7-AAD",36,0.0190080275229357
"FourLaserUV","7-AAD",37,0.0989965596330276
"FourLaserUV","7-AAD",38,0.365917431192661
"FourLaserUV","7-AAD",39,1
"FourLaserUV","7-AAD",40,0.84920871559633
"FourLaserUV","7-AAD",41,0.889724770642202
"FourLaserUV","7-AAD",42,0.536760321100917
"FourLaserUV","7-AAD",43,0.343147935779817
"FourLaserUV","7-AAD",44,0.319340596330275
"FourLaserUV","7-AAD",45,0.235172018348624
"FourLaserUV","7-AAD",46,0.231829128440367
"FourLaserUV","7-AAD",47,0.0300745412844037
"FourLaserUV","7-AAD",48,0.040309633027523
"FourLaserUV","7-AAD",49,0.0373853211009175
"FourLaserUV","7-AAD",50,0.0302866972477065
"FourLaserUV","7-AAD",51,0.0223451834862386
"FourLaserUV","7-AAD",52,0.0160837155963303
"FourLaserUV","7-AAD",53,0.0158715596330276
"FourLaserUV","7-AAD",54,0.00668577981651375
"FourLaserUV","Alexa Fluor 405",1,0.000602064220183607
"FourLaserUV","Alexa Fluor 405",2,0
"FourLaserUV","Alexa Fluor 405",3,0.0381020642201836
"FourLaserUV","Alexa Fluor 405",4,0.038302752293578
"FourLaserUV","Alexa Fluor 405",5,0.0422018348623854
"FourLaserUV","Alexa Fluor 405",6,0.0388016055045871
"FourLaserUV","Alexa Fluor 405",7,0.00919724770642205
"FourLaserUV","Alexa Fluor 405",8,0
"FourLaserUV","Alexa Fluor 405",9,0
"FourLaserUV","Alexa Fluor 405",10,0
"FourLaserUV","Alexa Fluor 405",11,0
"FourLaserUV","Alexa Fluor 405",12,0
"FourLaserUV","Alexa Fluor 405",13,0
"FourLaserUV","Alexa Fluor 405",14,0
"FourLaserUV","Alexa Fluor 405",15,0
"FourLaserUV","Alexa Fluor 405",16,0
"FourLaserUV","Alexa Fluor 405",17,0.598497706422018
"FourLaserUV","Alexa Fluor 405",18,1
"FourLaserUV","Alexa Fluor 405",19,0.800997706422018
"FourLaserUV","Alexa Fluor 405",20,0.401697247706422
"FourLaserUV","Alexa Fluor 405",21,0.137001146788991
"FourLaserUV","Alexa Fluor 405",22,0.0611983944954129
"FourLaserUV","Alexa Fluor 405",23,0.0336009174311928
"FourLaserUV","Alexa Fluor 405",24,0
"FourLaserUV","Alexa Fluor 405",25,0
"FourLaserUV","Alexa Fluor 405",26,0
"FourLaserUV","Alexa Fluor 405",27,0
"FourLaserUV","Alexa Fluor 405",28,0
"FourLaserUV","Alexa Fluor 405",29,0
"FourLaserUV","Alexa Fluor 405",30,0
"FourLaserUV","Alexa Fluor 405",31,0
"FourLaserUV","Alexa Fluor 405",32,0
"FourLaserUV","Alexa Fluor 405",33,0
"FourLaserUV","Alexa Fluor 405",34,0
"FourLaserUV","Alexa Fluor 405",35,0
"FourLaserUV","Alexa Fluor 405",36,0
"FourLaserUV","Alexa Fluor 405",37,0
"FourLaserUV","Alexa Fluor 405",38,0
"FourLaserUV","Alexa Fluor 405",39,0
"FourLaserUV","Alexa Fluor 405",40,0
"FourLaserUV","Alexa Fluor 405",41,0
"FourLaserUV","Alexa Fluor 405",42,0
"FourLaserUV","Alexa Fluor 405",43,0
"FourLaserUV","Alexa Fluor 405",44,0
"FourLaserUV","Alexa Fluor 405",45,0
"FourLaserUV","Alexa Fluor 405",46,0
"FourLaserUV","Alexa Fluor 405",47,0
"FourLaserUV","Alexa Fluor 405",48,0
"FourLaserUV","Alexa Fluor 405",49,0
"FourLaserUV","Alexa Fluor 405",50,0
"FourLaserUV","Alexa Fluor 405",51,0
"FourLaserUV","Alexa Fluor 405",52,0
"FourLaserUV","Alexa Fluor 405",53,0
"FourLaserUV","Alexa Fluor 405",54,0
"FourLaserUV","Alexa Fluor 488",1,0
"FourLaserUV","Alexa Fluor 488",2,0
"FourLaserUV","Alexa Fluor 488",3,0
"FourLaserUV","Alexa Fluor 488",4,0
"FourLaserUV","Alexa Fluor 488",5,0
