"Instrument","Fluorophore","Detector","AdjustedY"
"FourLaserYG","7-AAD",1,0
"FourLaserYG","7-AAD",2,0
"FourLaserYG","7-AAD",3,0
"FourLaserYG","7-AAD",4,0
"FourLaserYG","7-AAD",5,0
"FourLaserYG","7-AAD",6,0
"FourLaserYG","7-AAD",7,0
"FourLaserYG","7-AAD",8,0
"FourLaserYG","7-AAD",9,0.00319954128440358
"FourLaserYG","7-AAD",10,0.065802752293578
"FourLaserYG","7-AAD",11,0.179799311926605
"FourLaserYG","7-AAD",12,0.12240252293578
"FourLaserYG","7-AAD",13,0.117201834862385
"FourLaserYG","7-AAD",14,0.0893004587155964
"FourLaserYG","7-AAD",15,0.0613016055045872
"FourLaserYG","7-AAD",16,0.0256995412844037
"FourLaserYG","7-AAD",17,0.000997706422018352
"FourLaserYG","7-AAD",18,0
"FourLaserYG","7-AAD",19,0
"FourLaserYG","7-AAD",20,0.00909977064220191
"FourLaserYG","7-AAD",21,0.0474025229357798
"FourLaserYG","7-AAD",22,0.175200688073395
"FourLaserYG","7-AAD",23,0.478801605504587
"FourLaserYG","7-AAD",24,0.406599770642202
"FourLaserYG","7-AAD",25,0.425997706422018
"FourLaserYG","7-AAD",26,0.257001146788991
"FourLaserYG","7-AAD",27,0.164300458715596
"FourLaserYG","7-AAD",28,0.152901376146789
"FourLaserYG","7-AAD",29,0.11259747706422
"FourLaserYG","7-AAD",30,0.110997706422018
"FourLaserYG","7-AAD",31,0.0250974770642203
"FourLaserYG","7-AAD",32,0.0977981651376147
"FourLaserYG","7-AAD",33,0.357998853211009
"FourLaserYG","7-AAD",34,1
"FourLaserYG","7-AAD",35,0.867998853211009
"FourLaserYG","7-AAD",36,0.794799311926605
"FourLaserYG","7-AAD",37,0.918600917431193
"FourLaserYG","7-AAD",38,0.428102064220183
"FourLaserYG","7-AAD",39,0.307201834862385
"FourLaserYG","7-AAD",40,0.163302752293578
"FourLaserYG","7-AAD",41,0.0143979357798165
"FourLaserYG","7-AAD",42,0.0193004587155964
"FourLaserYG","7-AAD",43,0.0179013761467891
"FourLaserYG","7-AAD",44,0.0145011467889908
"FourLaserYG","7-AAD",45,0.0106995412844038
"FourLaserYG","7-AAD",46,0.00770068807339463
"FourLaserYG","7-AAD",47,0.00759747706422031
"FourLaserYG","7-AAD",48,0.00319954128440358
"FourLaserYG","Alexa Fluor 405",1,0.598497706422018
"FourLaserYG","Alexa Fluor 405",2,1
"FourLaserYG","Alexa Fluor 405",3,0.800997706422018
"FourLaserYG","Alexa Fluor 405",4,0.401697247706422
"FourLaserYG","Alexa Fluor 405",5,0.137001146788991
"FourLaserYG","Alexa Fluor 405",6,0.0611983944954129
"FourLaserYG","Alexa Fluor 405",7,0.0336009174311928
"FourLaserYG","Alexa Fluor 405",8,0
"FourLaserYG","Alexa Fluor 405",9,0
"FourLaserYG","Alexa Fluor 405",10,0
"FourLaserYG","Alexa Fluor 405",11,0
"FourLaserYG","Alexa Fluor 405",12,0
"FourLaserYG","Alexa Fluor 405",13,0
"FourLaserYG","Alexa Fluor 405",14,0
"FourLaserYG","Alexa Fluor 405",15,0
"FourLaserYG","Alexa Fluor 405",16,0
"FourLaserYG","Alexa Fluor 405",17,0
"FourLaserYG","Alexa Fluor 405",18,0
"FourLaserYG","Alexa Fluor 405",19,0
"FourLaserYG","Alexa Fluor 405",20,0
"FourLaserYG","Alexa Fluor 405",21,0
"FourLaserYG","Alexa Fluor 405",22,0
"FourLaserYG","Alexa Fluor 405",23,0
"FourLaserYG","Alexa Fluor 405",24,0
"FourLaserYG","Alexa Fluor 405",25,0
"FourLaserYG","Alexa Fluor 405",26,0
"FourLaserYG","Alexa Fluor 405",27,0
"FourLaserYG","Alexa Fluor 405",28,0
"FourLaserYG","Alexa Fluor 405",29,0
"FourLaserYG","Alexa Fluor 405",30,0
"FourLaserYG","Alexa Fluor 405",31,0
"FourLaserYG","Alexa Fluor 405",32,0
"FourLaserYG","Alexa Fluor 405",33,0
"FourLaserYG","Alexa Fluor 405",34,0
"FourLaserYG","Alexa Fluor 405",35,0
"FourLaserYG","Alexa Fluor 405",36,0
"FourLaserYG","Alexa Fluor 405",37,0
"FourLaserYG","Alexa Fluor 405",38,0
"FourLaserYG","Alexa Fluor 405",39,0
"FourLaserYG","Alexa Fluor 405",40,0
"FourLaserYG","Alexa Fluor 405",41,0
"FourLaserYG","Alexa Fluor 405",42,0
"FourLaserYG","Alexa Fluor 405",43,0
"FourLaserYG","Alexa Fluor 405",44,0
"FourLaserYG","Alexa Fluor 405",45,0
"FourLaserYG","Alexa Fluor 405",46,0
"FourLaserYG","Alexa Fluor 405",47,0
"FourLaserYG","Alexa Fluor 405",48,0
"FourLaserYG","Alexa Fluor 488",1,0
