"Instrument","Fluorophore","Detector","AdjustedY"
"FiveLaser","7-AAD",1,0
"FiveLaser","7-AAD",2,0
"FiveLaser","7-AAD",3,0
"FiveLaser","7-AAD",4,0
"FiveLaser","7-AAD",5,0
"FiveLaser","7-AAD",6,0
"FiveLaser","7-AAD",7,0
"FiveLaser","7-AAD",8,0
"FiveLaser","7-AAD",9,0
"FiveLaser","7-AAD",10,0.00439793577981651
"FiveLaser","7-AAD",11,0.0233027522935779
"FiveLaser","7-AAD",12,0.0156995412844037
"FiveLaser","7-AAD",13,0.0143979357798165
"FiveLaser","7-AAD",14,0.0145011467889908
"FiveLaser","7-AAD",15,0.0100974770642202
"FiveLaser","7-AAD",16,0.00799885321100924
"FiveLaser","7-AAD",17,0
"FiveLaser","7-AAD",18,0
"FiveLaser","7-AAD",19,0
"FiveLaser","7-AAD",20,0
"FiveLaser","7-AAD",21,0
"FiveLaser","7-AAD",22,0
"FiveLaser","7-AAD",23,0
"FiveLaser","7-AAD",24,0
"FiveLaser","7-AAD",25,0.00319954128440358
"FiveLaser","7-AAD",26,0.065802752293578
"FiveLaser","7-AAD",27,0.179799311926605
"FiveLaser","7-AAD",28,0.12240252293578
"FiveLaser","7-AAD",29,0.117201834862385
"FiveLaser","7-AAD",30,0.0893004587155964
"FiveLaser","7-AAD",31,0.0613016055045872
"FiveLaser","7-AAD",32,0.0256995412844037
"FiveLaser","7-AAD",33,0.000997706422018352
"FiveLaser","7-AAD",34,0
"FiveLaser","7-AAD",35,0
"FiveLaser","7-AAD",36,0.00909977064220191
"FiveLaser","7-AAD",37,0.0474025229357798
"FiveLaser","7-AAD",38,0.175200688073395
"FiveLaser","7-AAD",39,0.478801605504587
"FiveLaser","7-AAD",40,0.406599770642202
"FiveLaser","7-AAD",41,0.425997706422018
"FiveLaser","7-AAD",42,0.257001146788991
"FiveLaser","7-AAD",43,0.164300458715596
"FiveLaser","7-AAD",44,0.152901376146789
"FiveLaser","7-AAD",45,0.11259747706422
"FiveLaser","7-AAD",46,0.110997706422018
"FiveLaser","7-AAD",47,0.0250974770642203
"FiveLaser","7-AAD",48,0.0977981651376147
"FiveLaser","7-AAD",49,0.357998853211009
"FiveLaser","7-AAD",50,1
"FiveLaser","7-AAD",51,0.867998853211009
"FiveLaser","7-AAD",52,0.794799311926605
"FiveLaser","7-AAD",53,0.918600917431193
"FiveLaser","7-AAD",54,0.428102064220183
"FiveLaser","7-AAD",55,0.307201834862385
"FiveLaser","7-AAD",56,0.163302752293578
"FiveLaser","7-AAD",57,0.0143979357798165
"FiveLaser","7-AAD",58,0.0193004587155964
"FiveLaser","7-AAD",59,0.0179013761467891
"FiveLaser","7-AAD",60,0.0145011467889908
"FiveLaser","7-AAD",61,0.0106995412844038
"FiveLaser","7-AAD",62,0.00770068807339463
"FiveLaser","7-AAD",63,0.00759747706422031
"FiveLaser","7-AAD",64,0.00319954128440358
"FiveLaser","Alexa Fluor 405",1,0.000602064220183607
"FiveLaser","Alexa Fluor 405",2,0
"FiveLaser","Alexa Fluor 405",3,0.0381020642201836
"FiveLaser","Alexa Fluor 405",4,0.038302752293578
"FiveLaser","Alexa Fluor 405",5,0.0422018348623854
"FiveLaser","Alexa Fluor 405",6,0.0388016055045871
"FiveLaser","Alexa Fluor 405",7,0.00919724770642205
"FiveLaser","Alexa Fluor 405",8,0
"FiveLaser","Alexa Fluor 405",9,0
"FiveLaser","Alexa Fluor 405",10,0
"FiveLaser","Alexa Fluor 405",11,0
"FiveLaser","Alexa Fluor 405",12,0
"FiveLaser","Alexa Fluor 405",13,0
"FiveLaser","Alexa Fluor 405",14,0
"FiveLaser","Alexa Fluor 405",15,0
"FiveLaser","Alexa Fluor 405",16,0
"FiveLaser","Alexa Fluor 405",17,0.598497706422018
"FiveLaser","Alexa Fluor 405",18,1
"FiveLaser","Alexa Fluor 405",19,0.800997706422018
"FiveLaser","Alexa Fluor 405",20,0.401697247706422
"FiveLaser","Alexa Fluor 405",21,0.137001146788991
"FiveLaser","Alexa Fluor 405",22,0.0611983944954129
"FiveLaser","Alexa Fluor 405",23,0.0336009174311928
"FiveLaser","Alexa Fluor 405",24,0
"FiveLaser","Alexa Fluor 405",25,0
"FiveLaser","Alexa Fluor 405",26,0
"FiveLaser","Alexa Fluor 405",27,0
"FiveLaser","Alexa Fluor 405",28,0
"FiveLaser","Alexa Fluor 405",29,0
"FiveLaser","Alexa Fluor 405",30,0
"FiveLaser","Alexa Fluor 405",31,0
"FiveLaser","Alexa Fluor 405",32,0
"FiveLaser","Alexa Fluor 405",33,0
"FiveLaser","Alexa Fluor 405",34,0
"FiveLaser","Alexa Fluor 405",35,0
"FiveLaser","Alexa Fluor 405",36,0
"FiveLaser","Alexa Fluor 405",37,0
"FiveLaser","Alexa Fluor 405",38,0
"FiveLaser","Alexa Fluor 405",39,0
"FiveLaser","Alexa Fluor 405",40,0
"FiveLaser","Alexa Fluor 405",41,0
"FiveLaser","Alexa Fluor 405",42,0
"FiveLaser","Alexa Fluor 405",43,0
"FiveLaser","Alexa Fluor 405",44,0
"FiveLaser","Alexa Fluor 405",45,0
"FiveLaser","Alexa Fluor 405",46,0
"FiveLaser","Alexa Fluor 405",47,0
"FiveLaser","Alexa Fluor 405",48,0
"FiveLaser","Alexa Fluor 405",49,0
"FiveLaser","Alexa Fluor 405",50,0
"FiveLaser","Alexa Fluor 405",51,0
"FiveLaser","Alexa Fluor 405",52,0
"FiveLaser","Alexa Fluor 405",53,0
"FiveLaser","Alexa Fluor 405",54,0
"FiveLaser","Alexa Fluor 405",55,0
"FiveLaser","Alexa Fluor 405",56,0
"FiveLaser","Alexa Fluor 405",57,0
"FiveLaser","Alexa Fluor 405",58,0
"FiveLaser","Alexa Fluor 405",59,0
"FiveLaser","Alexa Fluor 405",60,0
"FiveLaser","Alexa Fluor 405",61,0
"FiveLaser","Alexa Fluor 405",62,0
"FiveLaser","Alexa Fluor 405",63,0
"FiveLaser","Alexa Fluor 405",64,0
"FiveLaser","Alexa Fluor 488",1,0
"FiveLaser","Alexa Fluor 488",2,0
"FiveLaser","Alexa Fluor 488",3,0
"FiveLaser","Alexa Fluor 488",4,0
"FiveLaser","Alexa Fluor 488",5,0
"FiveLaser","Alexa Fluor 488",6,0
"FiveLaser","Alexa Fluor 488",7,0.00970183486238541
"FiveLaser","Alexa Fluor 488",8,0.00779816513761478
"FiveLaser","Alexa Fluor 488",9,0.00169724770642199
"FiveLaser","Alexa Fluor 488",10,0
"FiveLaser","Alexa Fluor 488",11,0
"FiveLaser","Alexa Fluor 488",12,0
"FiveLaser","Alexa Fluor 488",13,0
"FiveLaser","Alexa Fluor 488",14,0
"FiveLaser","Alexa Fluor 488",15,0
"FiveLaser","Alexa Fluor 488",16,0
"FiveLaser","Alexa Fluor 488",17,0
"FiveLaser","Alexa Fluor 488",18,0
"FiveLaser","Alexa Fluor 488",19,0
"FiveLaser","Alexa Fluor 488",20,0
"FiveLaser","Alexa Fluor 488",21,0.00409977064220191
"FiveLaser","Alexa Fluor 488",22,0.00799885321100924
"FiveLaser","Alexa Fluor 488",23,0.00529816513761472
"FiveLaser","Alexa Fluor 488",24,0
"FiveLaser","Alexa Fluor 488",25,0
"FiveLaser","Alexa Fluor 488",26,0
"FiveLaser","Alexa Fluor 488",27,0
"FiveLaser","Alexa Fluor 488",28,0
"FiveLaser","Alexa Fluor 488",29,0
"FiveLaser","Alexa Fluor 488",30,0
"FiveLaser","Alexa Fluor 488",31,0
"FiveLaser","Alexa Fluor 488",32,0
"FiveLaser","Alexa Fluor 488",33,0.783698394495413
"FiveLaser","Alexa Fluor 488",34,1
"FiveLaser","Alexa Fluor 488",35,0.691502293577982
"FiveLaser","Alexa Fluor 488",36,0.170200688073395
"FiveLaser","Alexa Fluor 488",37,0.083302752293578
"FiveLaser","Alexa Fluor 488",38,0.0427006880733946
"FiveLaser","Alexa Fluor 488",39,0.0125974770642202
"FiveLaser","Alexa Fluor 488",40,0.00729931192660549
"FiveLaser","Alexa Fluor 488",41,0.00529816513761472
"FiveLaser","Alexa Fluor 488",42,0.0022993119266056
"FiveLaser","Alexa Fluor 488",43,0.00110091743119267
"FiveLaser","Alexa Fluor 488",44,0.00090022935779821
"FiveLaser","Alexa Fluor 488",45,0.000498853211009287
"FiveLaser","Alexa Fluor 488",46,0.000200688073394462
"FiveLaser","Alexa Fluor 488",47,0
"FiveLaser","Alexa Fluor 488",48,0
"FiveLaser","Alexa Fluor 488",49,0
"FiveLaser","Alexa Fluor 488",50,0
"FiveLaser","Alexa Fluor 488",51,0
"FiveLaser","Alexa Fluor 488",52,0
"FiveLaser","Alexa Fluor 488",53,0
"FiveLaser","Alexa Fluor 488",54,0
"FiveLaser","Alexa Fluor 488",55,0
"FiveLaser","Alexa Fluor 488",56,0
"FiveLaser","Alexa Fluor 488",57,0
"FiveLaser","Alexa Fluor 488",58,0
"FiveLaser","Alexa Fluor 488",59,0
"FiveLaser","Alexa Fluor 488",60,0
"FiveLaser","Alexa Fluor 488",61,0
"FiveLaser","Alexa Fluor 488",62,0
"FiveLaser","Alexa Fluor 488",63,0
"FiveLaser","Alexa Fluor 488",64,0
"FiveLaser","Alexa Fluor 532",1,0
"FiveLaser","Alexa Fluor 532",2,0
"FiveLaser","Alexa Fluor 532",3,0
"FiveLaser","Alexa Fluor 532",4,0
"FiveLaser","Alexa Fluor 532",5,0
"FiveLaser","Alexa Fluor 532",6,0
"FiveLaser","Alexa Fluor 532",7,0
"FiveLaser","Alexa Fluor 532",8,0.0454988532110092
"FiveLaser","Alexa Fluor 532",9,0.0591972477064221
"FiveLaser","Alexa Fluor 532",10,0.0138990825688073
"FiveLaser","Alexa Fluor 532",11,0.00119839449541281
"FiveLaser","Alexa Fluor 532",12,0
"FiveLaser","Alexa Fluor 532",13,0
"FiveLaser","Alexa Fluor 532",14,0
"FiveLaser","Alexa Fluor 532",15,0
