"Instrument","Fluorophore","Detector","AdjustedY"
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-1",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-2",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-3",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-4",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-5",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-6",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-7",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-8",0.000117453605825699
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-9",0.00105708245243129
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-10",0.00481559783885365
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-11",0.0116279069767442
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-12",0.00845665961945032
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-13",0.00587268029128494
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-14",0.00375851538642236
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-15",0.00305379375146817
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-16",0.00258397932816538
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-17",0.00187925769321118
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-18",0.00129198966408269
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-19",0.000822175240779892
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-20",0.000587268029128494
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-21",0.000469814423302795
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-22",0.000234907211651398
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-23",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-24",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-25",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-26",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-27",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-28",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-29",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-30",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-31",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-32",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-33",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-34",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","405-35",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-1",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-2",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-3",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-4",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-5",0.00152689687573409
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-6",0.0137420718816068
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-7",0.0626027719050975
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-8",0.151162790697674
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-9",0.109936575052854
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-10",0.0763448437867043
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-11",0.0488607000234907
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-12",0.0396993187690862
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-13",0.0335917312661499
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-14",0.0244303500117454
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-15",0.0167958656330749
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-16",0.0106882781301386
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-17",0.00763448437867043
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-18",0.00610758750293634
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-19",0.00305379375146817
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-20",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-21",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-22",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-23",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-24",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-25",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-26",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-27",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-28",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-29",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-30",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-31",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","488-32",0
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-10",0.414141414141414
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-11",1
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-12",0.727272727272727
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-13",0.505050505050505
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-14",0.323232323232323
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-15",0.262626262626263
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-16",0.222222222222222
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-17",0.161616161616162
"SonyID700_4L","10-Acetyl-37-dihydroxyphenoxazin","561-18",0.111111111111111
