"Instrument","Fluorophore","Detector","AdjustedY"
"SonyID700_6LDUV","Alexa Fluor 350","320-1",0.029773
"SonyID700_6LDUV","Alexa Fluor 350","320-2",1
"SonyID700_6LDUV","Alexa Fluor 350","320-3",0.78486
"SonyID700_6LDUV","Alexa Fluor 350","320-4",0.493722
"SonyID700_6LDUV","Alexa Fluor 350","320-5",0.408028
"SonyID700_6LDUV","Alexa Fluor 350","320-6",0.264007
"SonyID700_6LDUV","Alexa Fluor 350","320-7",0.165264
"SonyID700_6LDUV","Alexa Fluor 350","320-8",0.083961
"SonyID700_6LDUV","Alexa Fluor 350","320-9",0.021874
"SonyID700_6LDUV","Alexa Fluor 350","320-10",0.013179
"SonyID700_6LDUV","Alexa Fluor 350","320-11",0.02501
"SonyID700_6LDUV","Alexa Fluor 350","320-12",0.016067
"SonyID700_6LDUV","Alexa Fluor 350","320-13",0.012746
"SonyID700_6LDUV","Alexa Fluor 350","320-14",0.006986
"SonyID700_6LDUV","Alexa Fluor 350","320-15",0
"SonyID700_6LDUV","Alexa Fluor 350","320-16",0.002034
"SonyID700_6LDUV","Alexa Fluor 350","320-17",0.00113
"SonyID700_6LDUV","Alexa Fluor 350","320-18",0.001853
"SonyID700_6LDUV","Alexa Fluor 350","320-19",0
"SonyID700_6LDUV","Alexa Fluor 350","320-20",0.001567
"SonyID700_6LDUV","Alexa Fluor 350","320-21",0.003803
"SonyID700_6LDUV","Alexa Fluor 350","320-22",0.002819
"SonyID700_6LDUV","Alexa Fluor 350","320-23",0.000928
"SonyID700_6LDUV","Alexa Fluor 350","320-24",0.007843
"SonyID700_6LDUV","Alexa Fluor 350","320-25",0.016163
"SonyID700_6LDUV","Alexa Fluor 350","320-26",0.008277
"SonyID700_6LDUV","Alexa Fluor 350","320-27",0.009615
"SonyID700_6LDUV","Alexa Fluor 350","320-28",0.006186
"SonyID700_6LDUV","Alexa Fluor 350","320-29",0.001716
"SonyID700_6LDUV","Alexa Fluor 350","320-30",0.000992
"SonyID700_6LDUV","Alexa Fluor 350","320-31",0.003559
"SonyID700_6LDUV","Alexa Fluor 350","320-32",0.001249
"SonyID700_6LDUV","Alexa Fluor 350","320-33",0
"SonyID700_6LDUV","Alexa Fluor 350","320-34",0.000152
"SonyID700_6LDUV","Alexa Fluor 350","320-35",0.000885
"SonyID700_6LDUV","Alexa Fluor 350","355-1",0.022516
"SonyID700_6LDUV","Alexa Fluor 350","355-2",0.631758
"SonyID700_6LDUV","Alexa Fluor 350","355-3",0.502877
"SonyID700_6LDUV","Alexa Fluor 350","355-4",0.298596
"SonyID700_6LDUV","Alexa Fluor 350","355-5",0.296869
"SonyID700_6LDUV","Alexa Fluor 350","355-6",0.221928
"SonyID700_6LDUV","Alexa Fluor 350","355-7",0.140256
"SonyID700_6LDUV","Alexa Fluor 350","355-8",0.073807
"SonyID700_6LDUV","Alexa Fluor 350","355-9",0.011648
"SonyID700_6LDUV","Alexa Fluor 350","355-10",0.004967
"SonyID700_6LDUV","Alexa Fluor 350","355-11",0.014724
"SonyID700_6LDUV","Alexa Fluor 350","355-12",0.011899
"SonyID700_6LDUV","Alexa Fluor 350","355-13",0.006141
"SonyID700_6LDUV","Alexa Fluor 350","355-14",0.004688
"SonyID700_6LDUV","Alexa Fluor 350","355-15",0
"SonyID700_6LDUV","Alexa Fluor 350","355-16",0.00054
"SonyID700_6LDUV","Alexa Fluor 350","355-17",0
"SonyID700_6LDUV","Alexa Fluor 350","355-18",0.000457
"SonyID700_6LDUV","Alexa Fluor 350","355-19",0
"SonyID700_6LDUV","Alexa Fluor 350","355-20",0.001477
"SonyID700_6LDUV","Alexa Fluor 350","355-21",0
"SonyID700_6LDUV","Alexa Fluor 350","355-22",0.001542
"SonyID700_6LDUV","Alexa Fluor 350","355-23",0.001453
"SonyID700_6LDUV","Alexa Fluor 350","355-24",0.002283
"SonyID700_6LDUV","Alexa Fluor 350","355-25",0.00293
"SonyID700_6LDUV","Alexa Fluor 350","355-26",0.008901
"SonyID700_6LDUV","Alexa Fluor 350","355-27",0.004277
"SonyID700_6LDUV","Alexa Fluor 350","355-28",0.005051
"SonyID700_6LDUV","Alexa Fluor 350","355-29",0
"SonyID700_6LDUV","Alexa Fluor 350","355-30",0.002098
"SonyID700_6LDUV","Alexa Fluor 350","355-31",0.000571
"SonyID700_6LDUV","Alexa Fluor 350","355-32",0.002853
"SonyID700_6LDUV","Alexa Fluor 350","355-33",0
"SonyID700_6LDUV","Alexa Fluor 350","355-34",0.002084
