"Instrument","Fluorophore","Detector","AdjustedY"
"SonyID700_6LIR","Alexa Fluor 350"," 320-1",0.0156
"SonyID700_6LIR","Alexa Fluor 350","320-2",0.5241
"SonyID700_6LIR","Alexa Fluor 350","320-3",0.4114
"SonyID700_6LIR","Alexa Fluor 350","320-4",0.2588
"SonyID700_6LIR","Alexa Fluor 350","320-5",0.2139
"SonyID700_6LIR","Alexa Fluor 350","320-6",0.1384
"SonyID700_6LIR","Alexa Fluor 350","320-7",0.0866
"SonyID700_6LIR","Alexa Fluor 350","320-8",0.044
"SonyID700_6LIR","Alexa Fluor 350","320-9",0.0115
"SonyID700_6LIR","Alexa Fluor 350","320-10",0.0069
"SonyID700_6LIR","Alexa Fluor 350","320-11",0.0131
"SonyID700_6LIR","Alexa Fluor 350","320-12",0.0084
"SonyID700_6LIR","Alexa Fluor 350","320-13",0.0067
"SonyID700_6LIR","Alexa Fluor 350","320-14",0.0037
"SonyID700_6LIR","Alexa Fluor 350","320-15",0
"SonyID700_6LIR","Alexa Fluor 350","320-16",0.0011
"SonyID700_6LIR","Alexa Fluor 350","320-17",6e-04
"SonyID700_6LIR","Alexa Fluor 350","320-18",0.001
"SonyID700_6LIR","Alexa Fluor 350","320-19",0
"SonyID700_6LIR","Alexa Fluor 350","320-20",8e-04
"SonyID700_6LIR","Alexa Fluor 350","320-21",0.002
"SonyID700_6LIR","Alexa Fluor 350","320-22",0.0015
"SonyID700_6LIR","Alexa Fluor 350","320-23",5e-04
"SonyID700_6LIR","Alexa Fluor 350","320-24",0.0041
"SonyID700_6LIR","Alexa Fluor 350","320-25",0.0085
"SonyID700_6LIR","Alexa Fluor 350","320-26",0.0043
"SonyID700_6LIR","Alexa Fluor 350","320-27",0.005
"SonyID700_6LIR","Alexa Fluor 350","320-28",0.0032
"SonyID700_6LIR","Alexa Fluor 350","320-29",9e-04
"SonyID700_6LIR","Alexa Fluor 350","320-30",5e-04
"SonyID700_6LIR","Alexa Fluor 350","320-31",0.0019
"SonyID700_6LIR","Alexa Fluor 350","320-32",7e-04
"SonyID700_6LIR","Alexa Fluor 350","320-33",0
"SonyID700_6LIR","Alexa Fluor 350","320-34",1e-04
"SonyID700_6LIR","Alexa Fluor 350","320-35",5e-04
"SonyID700_6LIR","Alexa Fluor 350","355-1",0.0356
"SonyID700_6LIR","Alexa Fluor 350","355-2",1
"SonyID700_6LIR","Alexa Fluor 350","355-3",0.796
"SonyID700_6LIR","Alexa Fluor 350","355-4",0.4726
"SonyID700_6LIR","Alexa Fluor 350","355-5",0.4699
"SonyID700_6LIR","Alexa Fluor 350","355-6",0.3513
"SonyID700_6LIR","Alexa Fluor 350","355-7",0.222
"SonyID700_6LIR","Alexa Fluor 350","355-8",0.1168
"SonyID700_6LIR","Alexa Fluor 350","355-9",0.0184
"SonyID700_6LIR","Alexa Fluor 350","355-10",0.0079
"SonyID700_6LIR","Alexa Fluor 350","355-11",0.0233
"SonyID700_6LIR","Alexa Fluor 350","355-12",0.0188
"SonyID700_6LIR","Alexa Fluor 350","355-13",0.0097
"SonyID700_6LIR","Alexa Fluor 350","355-14",0.0074
"SonyID700_6LIR","Alexa Fluor 350","355-15",0
"SonyID700_6LIR","Alexa Fluor 350","355-16",9e-04
"SonyID700_6LIR","Alexa Fluor 350","355-17",0
"SonyID700_6LIR","Alexa Fluor 350","355-18",7e-04
"SonyID700_6LIR","Alexa Fluor 350","355-19",0
"SonyID700_6LIR","Alexa Fluor 350","355-20",0.0023
"SonyID700_6LIR","Alexa Fluor 350","355-21",0
"SonyID700_6LIR","Alexa Fluor 350","355-22",0.0024
"SonyID700_6LIR","Alexa Fluor 350","355-23",0.0023
"SonyID700_6LIR","Alexa Fluor 350","355-24",0.0036
"SonyID700_6LIR","Alexa Fluor 350","355-25",0.0046
"SonyID700_6LIR","Alexa Fluor 350","355-26",0.0141
"SonyID700_6LIR","Alexa Fluor 350","355-27",0.0068
"SonyID700_6LIR","Alexa Fluor 350","355-28",0.008
"SonyID700_6LIR","Alexa Fluor 350","355-29",0
"SonyID700_6LIR","Alexa Fluor 350","355-30",0.0033
"SonyID700_6LIR","Alexa Fluor 350","355-31",9e-04
"SonyID700_6LIR","Alexa Fluor 350","355-32",0.0045
"SonyID700_6LIR","Alexa Fluor 350","355-33",0
"SonyID700_6LIR","Alexa Fluor 350","355-34",0.0033
"SonyID700_6LIR","Alexa Fluor 350","355-35",0.0029
"SonyID700_6LIR","Alexa Fluor 350","405-1",0.0386
"SonyID700_6LIR","Alexa Fluor 350","405-2",0.0466
"SonyID700_6LIR","Alexa Fluor 350","405-3",0.0203
"SonyID700_6LIR","Alexa Fluor 350","405-4",0.013
"SonyID700_6LIR","Alexa Fluor 350","405-5",0.0085
"SonyID700_6LIR","Alexa Fluor 350","405-6",0
"SonyID700_6LIR","Alexa Fluor 350","405-7",0
"SonyID700_6LIR","Alexa Fluor 350","405-8",0
"SonyID700_6LIR","Alexa Fluor 350","405-9",0
"SonyID700_6LIR","Alexa Fluor 350","405-10",0
"SonyID700_6LIR","Alexa Fluor 350","405-11",0
"SonyID700_6LIR","Alexa Fluor 350","405-12",0
"SonyID700_6LIR","Alexa Fluor 350","405-13",0
"SonyID700_6LIR","Alexa Fluor 350","405-14",0
"SonyID700_6LIR","Alexa Fluor 350","405-15",0
"SonyID700_6LIR","Alexa Fluor 350","405-16",0
"SonyID700_6LIR","Alexa Fluor 350","405-17",0
"SonyID700_6LIR","Alexa Fluor 350","405-18",0
"SonyID700_6LIR","Alexa Fluor 350","405-19",0
