Instrument,Fluorophore,Detector,AdjustedY
SonyID700_7L,4-MUP,320-1,0
SonyID700_7L,4-MUP,320-2,0.298520842671448
SonyID700_7L,4-MUP,320-3,0.371134020618557
SonyID700_7L,4-MUP,320-4,0.129090094128194
SonyID700_7L,4-MUP,320-5,0.0887494397131331
SonyID700_7L,4-MUP,320-6,0.0564769161810847
SonyID700_7L,4-MUP,320-7,0.0363065889735545
SonyID700_7L,4-MUP,320-8,0.0242043926490363
SonyID700_7L,4-MUP,320-9,0.0161362617660242
SonyID700_7L,4-MUP,320-10,0.0121021963245182
SonyID700_7L,4-MUP,320-11,0.00403406544150605
SonyID700_7L,4-MUP,320-12,0.00403406544150605
SonyID700_7L,4-MUP,320-13,0
SonyID700_7L,4-MUP,320-14,0
SonyID700_7L,4-MUP,320-15,0
SonyID700_7L,4-MUP,320-16,0
SonyID700_7L,4-MUP,320-17,0
SonyID700_7L,4-MUP,320-18,0
SonyID700_7L,4-MUP,320-19,0
SonyID700_7L,4-MUP,320-20,0
SonyID700_7L,4-MUP,320-21,0
SonyID700_7L,4-MUP,320-22,0
SonyID700_7L,4-MUP,320-23,0
SonyID700_7L,4-MUP,320-24,0
SonyID700_7L,4-MUP,320-25,0
SonyID700_7L,4-MUP,320-26,0
SonyID700_7L,4-MUP,320-27,0
SonyID700_7L,4-MUP,320-28,0
SonyID700_7L,4-MUP,320-29,0
SonyID700_7L,4-MUP,320-30,0
SonyID700_7L,4-MUP,320-31,0
SonyID700_7L,4-MUP,320-32,0
SonyID700_7L,4-MUP,320-33,0
SonyID700_7L,4-MUP,320-34,0
SonyID700_7L,4-MUP,320-35,0
SonyID700_7L,4-MUP,355-1,0
SonyID700_7L,4-MUP,355-2,0.804347826086956
SonyID700_7L,4-MUP,355-3,1
SonyID700_7L,4-MUP,355-4,0.347826086956522
SonyID700_7L,4-MUP,355-5,0.239130434782609
SonyID700_7L,4-MUP,355-6,0.152173913043478
SonyID700_7L,4-MUP,355-7,0.0978260869565217
SonyID700_7L,4-MUP,355-8,0.0652173913043478
SonyID700_7L,4-MUP,355-9,0.0434782608695652
SonyID700_7L,4-MUP,355-10,0.0326086956521739
SonyID700_7L,4-MUP,355-11,0.0108695652173913
SonyID700_7L,4-MUP,355-12,0.0108695652173913
SonyID700_7L,4-MUP,355-13,0
SonyID700_7L,4-MUP,355-14,0
SonyID700_7L,4-MUP,355-15,0
SonyID700_7L,4-MUP,355-16,0
SonyID700_7L,4-MUP,355-17,0
SonyID700_7L,4-MUP,355-18,0
SonyID700_7L,4-MUP,355-19,0
SonyID700_7L,4-MUP,355-20,0
SonyID700_7L,4-MUP,355-21,0
SonyID700_7L,4-MUP,355-22,0
SonyID700_7L,4-MUP,355-23,0
SonyID700_7L,4-MUP,355-24,0
SonyID700_7L,4-MUP,355-25,0
SonyID700_7L,4-MUP,355-26,0
SonyID700_7L,4-MUP,355-27,0
SonyID700_7L,4-MUP,355-28,0
