"Instrument","Fluorophore","Detector","AdjustedY"
"Bigfoot_6L_445","Alexa Fluor 647","349-387/11",0
"Bigfoot_6L_445","Alexa Fluor 647","349-420/10",0
"Bigfoot_6L_445","Alexa Fluor 647","349-434/17",0
"Bigfoot_6L_445","Alexa Fluor 647","349-455/14",0
"Bigfoot_6L_445","Alexa Fluor 647","349-473/15",0
"Bigfoot_6L_445","Alexa Fluor 647","349-507/19",0
"Bigfoot_6L_445","Alexa Fluor 647","349-549/15",0
"Bigfoot_6L_445","Alexa Fluor 647","349-575/15",0
"Bigfoot_6L_445","Alexa Fluor 647","349-615/24",0
"Bigfoot_6L_445","Alexa Fluor 647","349-670/30",0
"Bigfoot_6L_445","Alexa Fluor 647","349-728/40",0
"Bigfoot_6L_445","Alexa Fluor 647","349-750LP",0
"Bigfoot_6L_445","Alexa Fluor 647","405-420/10",0
"Bigfoot_6L_445","Alexa Fluor 647","405-434/17",0
"Bigfoot_6L_445","Alexa Fluor 647","405-455/14",0
"Bigfoot_6L_445","Alexa Fluor 647","405-473/15",0
"Bigfoot_6L_445","Alexa Fluor 647","405-507/19",0
"Bigfoot_6L_445","Alexa Fluor 647","405-549/15",0
"Bigfoot_6L_445","Alexa Fluor 647","405-575/15",0
"Bigfoot_6L_445","Alexa Fluor 647","405-615/24",0
"Bigfoot_6L_445","Alexa Fluor 647","405-661/20",0
"Bigfoot_6L_445","Alexa Fluor 647","405-710/20",0
"Bigfoot_6L_445","Alexa Fluor 647","405-747/33",0
"Bigfoot_6L_445","Alexa Fluor 647","405-770LP",0
"Bigfoot_6L_445","Alexa Fluor 647","445-465/22",0
"Bigfoot_6L_445","Alexa Fluor 647","445-525/35",0
"Bigfoot_6L_445","Alexa Fluor 647","445-583/30",0
"Bigfoot_6L_445","Alexa Fluor 647","445-650LP",0
"Bigfoot_6L_445","Alexa Fluor 647","488-507/19",0
"Bigfoot_6L_445","Alexa Fluor 647","488-549/15",0
"Bigfoot_6L_445","Alexa Fluor 647","488-583/30",0
"Bigfoot_6L_445","Alexa Fluor 647","488-615/24",0
"Bigfoot_6L_445","Alexa Fluor 647","488-670/30",0
"Bigfoot_6L_445","Alexa Fluor 647","488-720/60",0
"Bigfoot_6L_445","Alexa Fluor 647","488-750LP",0
"Bigfoot_6L_445","Alexa Fluor 647","561-575/15",0
"Bigfoot_6L_445","Alexa Fluor 647","561-589/15",0
"Bigfoot_6L_445","Alexa Fluor 647","561-605/15",0
"Bigfoot_6L_445","Alexa Fluor 647","561-622/15",0
"Bigfoot_6L_445","Alexa Fluor 647","561-661/20",0.0655333826065534
"Bigfoot_6L_445","Alexa Fluor 647","561-685/15",0.0586351318058635
"Bigfoot_6L_445","Alexa Fluor 647","561-700/13",0.0293175659029318
"Bigfoot_6L_445","Alexa Fluor 647","561-720/24",0.018970189701897
"Bigfoot_6L_445","Alexa Fluor 647","561-760/50",0.00689825080068983
"Bigfoot_6L_445","Alexa Fluor 647","561-800/12",0.00172456270017246
"Bigfoot_6L_445","Alexa Fluor 647","561-832/37",0
"Bigfoot_6L_445","Alexa Fluor 647","561-860LP",0
"Bigfoot_6L_445","Alexa Fluor 647","640-670/30",1
"Bigfoot_6L_445","Alexa Fluor 647","640-700/13",0.343434343434343
"Bigfoot_6L_445","Alexa Fluor 647","640-720/24",0.222222222222222
"Bigfoot_6L_445","Alexa Fluor 647","640-760/50",0.0808080808080808
"Bigfoot_6L_445","Alexa Fluor 647","640-770LP",0
"Bigfoot_6L_445","APC-Fire 750","349-387/11",0
"Bigfoot_6L_445","APC-Fire 750","349-420/10",0
"Bigfoot_6L_445","APC-Fire 750","349-434/17",0
"Bigfoot_6L_445","APC-Fire 750","349-455/14",0
"Bigfoot_6L_445","APC-Fire 750","349-473/15",0
"Bigfoot_6L_445","APC-Fire 750","349-507/19",0
"Bigfoot_6L_445","APC-Fire 750","349-549/15",0
"Bigfoot_6L_445","APC-Fire 750","349-575/15",0
"Bigfoot_6L_445","APC-Fire 750","349-615/24",0
"Bigfoot_6L_445","APC-Fire 750","349-670/30",0
"Bigfoot_6L_445","APC-Fire 750","349-728/40",0
"Bigfoot_6L_445","APC-Fire 750","349-750LP",0
