"Instrument","Fluorophore","Detector","AdjustedY"
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-387/11",0.0108695652173913
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-420/10",0.608695652173913
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-434/17",1
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-455/14",0.956521739130435
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-473/15",0.58695652173913
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-507/19",0.184782608695652
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-549/15",0.0326086956521739
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-575/15",0.0108695652173913
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-615/24",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-670/30",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-728/40",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","349-750LP",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-420/10",0.00614844093104963
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-434/17",0.0101010101010101
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-455/14",0.00966183574879227
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-473/15",0.00592885375494071
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-507/19",0.00186649099692578
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-549/15",0.000329380764163373
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-575/15",0.000109793588054458
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-615/24",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-661/20",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-710/20",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-747/33",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","405-770LP",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","445-465/22",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","445-525/35",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","445-583/30",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","445-650LP",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","532-549/15",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","532-583/30",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","532-615/24",0
"Bigfoot_7L_532_594","7-Amino-4-methylcoumarin (AMC)","532-670/30",0
