Fluorophore,Detector
BUV395-A,UV2-A
BUV496-A,UV7-A
BUV563-A,UV9-A
BUV615-A,UV10-A
BUV661-A,UV11-A
BUV737-A,UV14-A
BUV805-A,UV16-A
BV421-A,V1-A
Pacific Blue-A,V3-A
BV480-A,V5-A
BV510-A,V7-A
BV605-A,V10-A
BV650-A,V11-A
BV711-A,V13-A
BV750-A,V14-A
BV786-A,V15-A
Alexa Fluor 488-A,B2-A
Spark Blue 550-A,B3-A
PerCP-Cy5.5-A,B9-A
PE-A,YG1-A
PE-Dazzle594-A,YG3-A
PE-Cy5-A,YG5-A
PE-Vio770-A,YG9-A
APC-A,R1-A
Alexa Fluor 647-A,R2-A
APC-R700-A,R4-A
Zombie NIR-A,R6-A
APC-Fire 750-A,R7-A
APC-Fire 810-A,R7-A
Unstained,V7-A
